row,product_id,product_name,variation_name,master_color,master_size,sku
104,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Navy,8-9 Tahun",Navy,8-9 Tahun,RC-A-NVY-8-9TH
105,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Burgundy,6-7 Tahun",Marun Tua,6-7 Tahun,RC-A-MTA-6-7TH
106,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Hitam,8-9 Tahun",Hitam,8-9 Tahun,RC-A-HTM-8-9TH
107,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Hitam,12-13 Tahun",Hitam,12-13 Tahun,RC-A-HTM-12-13TH
108,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Hitam,4-5 Tahun",Hitam,4-5 Tahun,RC-A-HTM-4-5TH
109,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Navy,10-11 Tahun",Navy,10-11 Tahun,RC-A-NVY-10-11TH
110,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Merah Cabe,12-13 Tahun",Merah Cabe,12-13 Tahun,RC-A-MCB-12-13TH
111,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Merah Cabe,4-5 Tahun",Merah Cabe,4-5 Tahun,RC-A-MCB-4-5TH
112,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Burgundy,2-3 Tahun",Marun Tua,2-3 Tahun,RC-A-MTA-2-3TH
113,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Hitam,10-11 Tahun",Hitam,10-11 Tahun,RC-A-HTM-10-11TH
114,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Navy,4-5 Tahun",Navy,4-5 Tahun,RC-A-NVY-4-5TH
115,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Navy,12-13 Tahun",Navy,12-13 Tahun,RC-A-NVY-12-13TH
116,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Burgundy,8-9 Tahun",Marun Tua,8-9 Tahun,RC-A-MTA-8-9TH
117,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Merah Cabe,10-11 Tahun",Merah Cabe,10-11 Tahun,RC-A-MCB-10-11TH
118,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Merah Cabe,6-7 Tahun",Merah Cabe,6-7 Tahun,RC-A-MCB-6-7TH
119,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Burgundy,4-5 Tahun",Marun Tua,4-5 Tahun,RC-A-MTA-4-5TH
120,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Merah Cabe,2-3 Tahun",Merah Cabe,2-3 Tahun,RC-A-MCB-2-3TH
121,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Hitam,6-7 Tahun",Hitam,6-7 Tahun,RC-A-HTM-6-7TH
122,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Hitam,2-3 Tahun",Hitam,2-3 Tahun,RC-A-HTM-2-3TH
123,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Navy,2-3 Tahun",Navy,2-3 Tahun,RC-A-NVY-2-3TH
124,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Merah Cabe,8-9 Tahun",Merah Cabe,8-9 Tahun,RC-A-MCB-8-9TH
125,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Burgundy,12-13 Tahun",Marun Tua,12-13 Tahun,RC-A-MTA-12-13TH
126,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Navy,6-7 Tahun",Navy,6-7 Tahun,RC-A-NVY-6-7TH
127,26336754672,Setelah Rompi dan Celana Anak 2 IN 1,"Burgundy,10-11 Tahun",Marun Tua,10-11 Tahun,RC-A-MTA-10-11TH
328,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Navy,XXL",Navy,XXL,3IN1-P-NVY-XXL
329,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Burgundy,XS",Marun Tua,XS,3IN1-P-MTA-XS
330,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Putih,M",Putih,M,3IN1-P-PTH-M
331,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Merah Cabe,L",Merah Cabe,L,3IN1-P-MCB-L
332,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Sky Blue,S",Biru Langit,S,3IN1-P-BLG-S
333,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Hitam,XL",Hitam,XL,3IN1-P-HTM-XL
334,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Merah Cabe,S",Merah Cabe,S,3IN1-P-MCB-S
335,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Putih,L",Putih,L,3IN1-P-PTH-L
336,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Burgundy,XXL",Marun Tua,XXL,3IN1-P-MTA-XXL
337,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Navy,XXXL",Navy,XXXL,3IN1-P-NVY-XXXL
338,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Sky Blue,XL",Biru Langit,XL,3IN1-P-BLG-XL
339,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Burgundy,XL",Marun Tua,XL,3IN1-P-MTA-XL
340,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Burgundy,M",Marun Tua,M,3IN1-P-MTA-M
341,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Merah Cabe,M",Merah Cabe,M,3IN1-P-MCB-M
342,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Abu,XL",Abu,XL,3IN1-P-ABU-XL
343,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Navy,XL",Navy,XL,3IN1-P-NVY-XL
344,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Hitam,XS",Hitam,XS,3IN1-P-HTM-XS
345,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Merah Cabe,XXL",Merah Cabe,XXL,3IN1-P-MCB-XXL
346,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Sky Blue,M",Biru Langit,M,3IN1-P-BLG-M
347,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Abu,XS",Abu,XS,3IN1-P-ABU-XS
348,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Putih,XL",Putih,XL,3IN1-P-PTH-XL
349,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Abu,M",Abu,M,3IN1-P-ABU-M
350,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Putih,XS",Putih,XS,3IN1-P-PTH-XS
351,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Putih,XXL",Putih,XXL,3IN1-P-PTH-XXL
352,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Navy,L",Navy,L,3IN1-P-NVY-L
353,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Hitam,L",Hitam,L,3IN1-P-HTM-L
354,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Putih,XXXL",Putih,XXXL,3IN1-P-PTH-XXXL
355,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Burgundy,S",Marun Tua,S,3IN1-P-MTA-S
356,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Sky Blue,L",Biru Langit,L,3IN1-P-BLG-L
357,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Abu,XXXL",Abu,XXXL,3IN1-P-ABU-XXXL
358,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Abu,XXL",Abu,XXL,3IN1-P-ABU-XXL
359,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Abu,S",Abu,S,3IN1-P-ABU-S
360,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Merah Cabe,XS",Merah Cabe,XS,3IN1-P-MCB-XS
361,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Navy,S",Navy,S,3IN1-P-NVY-S
362,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Navy,M",Navy,M,3IN1-P-NVY-M
363,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Sky Blue,XXL",Biru Langit,XXL,3IN1-P-BLG-XXL
364,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Hitam,S",Hitam,S,3IN1-P-HTM-S
365,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Burgundy,XXXL",Marun Tua,XXXL,3IN1-P-MTA-XXXL
366,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Abu,L",Abu,L,3IN1-P-ABU-L
367,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Burgundy,L",Marun Tua,L,3IN1-P-MTA-L
368,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Merah Cabe,XL",Merah Cabe,XL,3IN1-P-MCB-XL
369,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Putih,S",Putih,S,3IN1-P-PTH-S
370,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Navy,XS",Navy,XS,3IN1-P-NVY-XS
371,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Hitam,XXL",Hitam,XXL,3IN1-P-HTM-XXL
372,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Merah Cabe,XXXL",Merah Cabe,XXXL,3IN1-P-MCB-XXXL
373,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Sky Blue,XXXL",Biru Langit,XXXL,3IN1-P-BLG-XXXL
374,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Hitam,M",Hitam,M,3IN1-P-HTM-M
375,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Sky Blue,XS",Biru Langit,XS,3IN1-P-BLG-XS
376,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Hitam,XXXL",Hitam,XXXL,3IN1-P-HTM-XXXL
